"Name_std" "overwintering_stage"
"Lemonia taraxaci" "egg"
"Cossus cossus" "larva"
"Phragmataecia castaneae" "larva"
"Zeuzera pyrina" "larva"
"Achlya flavicornis" "pupa"
"Cilix glaucata" "pupa"
"Cymatophorina diluta" "egg"
"Drepana curvatula" "pupa"
"Drepana falcataria" "pupa"
"Falcaria lacertinaria" "pupa"
"Habrosyne pyritoides" "pupa"
"Ochropacha duplaris" "pupa"
"Polyploca ridens" "pupa"
"Sabra harpagula" "pupa"
"Tethea ocularis" "pupa"
"Tethea or" "pupa"
"Tetheella fluctuosa" "pupa"
"Thyatira batis" "pupa"
"Watsonalla binaria" "pupa"
"Watsonalla cultraria" "pupa"
"Watsonalla uncinula" "pupa"
"Endromis versicolora" "pupa"
"Arctia caja" "larva"
"Arctia flavia" "larva"
"Arctia matronula" "larva"
"Arctia testudinaria" "larva"
"Arctia villica" "larva"
"Arctornis l-nigrum" "larva"
"Atolmis rubricollis" "pupa"
"Autophila dilucida" "adult"
"Callimorpha dominula" "larva"
"Calliteara pudibunda" "pupa"
"Calyptra thalictri" "larva"
"Catephia alchymista" "pupa"
"Catocala coniuncta" "egg"
"Catocala dilecta" "egg"
"Catocala electa" "egg"
"Catocala elocata" "egg"
"Catocala fraxini" "egg"
"Catocala fulminea" "egg"
"Catocala nupta" "egg"
"Catocala nymphaea" "egg"
"Catocala nymphagoga" "egg"
"Catocala promissa" "egg"
"Catocala puerpera" "egg"
"Catocala sponsa" "egg"
"Chelis simplonica" "larva"
"Colobochyla salicalis" "pupa"
"Coscinia cribraria" "larva"
"Cybosia mesomella" "larva"
"Diacrisia purpurata" "larva"
"Diacrisia sannio" "larva"
"Diaphora mendica" "pupa"
"Diaphora sordida" "pupa"
"Dysgonia algira" "pupa"
"Eilema caniola" "larva"
"Eilema cereola" "larva"
"Eilema complana" "larva"
"Eilema depressa" "larva"
"Eilema griseola" "larva"
"Eilema lurideola" "larva"
"Eilema lutarella" "larva"
"Eilema palliatella" "larva"
"Eilema pseudocomplana" "larva"
"Eilema pygmaeola" "larva"
"Eilema sororcula" "pupa"
"Epatolmis luctifera" "pupa"
"Eublemma ostrina" "pupa"
"Eublemma parva" "pupa"
"Eublemma polygramma" NA
"Eublemma purpurina" "larva"
"Euplagia quadripunctaria" "larva"
"Euproctis chrysorrhoea" "larva"
"Grammodes stolida" "pupa"
"Gynaephora fascelina" "larva"
"Herminia grisealis" "pupa"
"Herminia tarsicrinalis" "larva"
"Herminia tarsipennalis" "larva"
"Herminia tenuialis" "pupa"
"Hypena crassalis" "pupa"
"Hypena lividalis" "adult"
"Hypena obesalis" "adult"
"Hypena obsitalis" "adult"
"Hypena proboscidalis" "larva"
"Hypena rostralis" "adult"
"Hypenodes humidalis" "larva"
"Hyphantria cunea" "pupa"
"Idia calvaria" "larva"
"Laspeyria flexula" "larva"
"Leucoma salicis" "larva"
"Lithosia quadra" "larva"
"Lygephila craccae" "egg"
"Lygephila lusoria" "larva"
"Lygephila pastinum" "larva"
"Lygephila viciae" "pupa"
"Lymantria dispar" "egg"
"Lymantria monacha" "egg"
"Macrochilo cribrumalis" "larva"
"Metachrostis dardouini" "pupa"
"Miltochrista miniata" "larva"
"Minucia lunaris" "pupa"
"Nudaria mundana" "larva"
"Ocneria rubea" "larva"
"Ocnogyna parasita" "pupa"
"Orgyia antiqua" "egg"
"Orgyia recens" "larva"
"Paidia rica" "larva"
"Paracolax tristalis" "larva"
"Parascotia fuliginaria" "larva"
"Pechipogo strigilata" "larva"
"Pelosia muscerda" "larva"
"Pelosia obtusa" "larva"
"Phragmatobia fuliginosa" "larva"
"Phytometra viridaria" "pupa"
"Polypogon gryphalis" "larva"
"Polypogon plumigeralis" "larva"
"Polypogon tentacularia" "larva"
"Rivula sericealis" "larva"
"Schrankia costaestrigalis" "larva"
"Schrankia taenialis" "pupa"
"Scoliopteryx libatrix" "adult"
"Setina irrorella" "larva"
"Sphrageidus similis" "larva"
"Spilarctia lutea" "pupa"
"Spilosoma lubricipeda" "pupa"
"Spilosoma urticae" "pupa"
"Thumatha senex" "larva"
"Trisateles emortualis" "pupa"
"Tyria jacobaeae" "pupa"
"Watsonarctia deserta" "pupa"
"Zanclognatha lunalis" "larva"
"Zanclognatha zelleralis" "larva"
"Eutelia adulatrix" "pupa"
"Abraxas grossulariata" "larva"
"Abraxas sylvata" "pupa"
"Acasis appensata" "pupa"
"Acasis viretata" "pupa"
