"LOC" "A" "spattemp_cluster" "samplingpair" "prop_forest_500" "prop_grassland_500" "prop_crop_500" "prop_sealed_500" "height"
"Airolo, Lüvina" 1981 "1981_1" NA 0.0617 0.4568 0 0.2222 1199.5
"Airolo, Lüvina" 1982 "1982_1" NA 0.0646 0.4549 0 0.2232 1199.5
"Airolo, Lüvina" 1983 "1983_1" NA 0.0674 0.453 0 0.2241 1199.5
"Airolo, Lüvina" 1984 "1984_1" NA 0.0703 0.4511 0 0.2251 1199.5
"Altdorf, Kapuzinerkloster" 1982 "1982_2" NA 0.5556 0.0988 0.0247 0.2222 551.2
"Altdorf, Kapuzinerkloster" 1983 "1983_2" NA 0.5556 0.0988 0.0247 0.2222 551.2
"Altdorf, Vogelsang" 1979 "1979_1" NA 0.358 0.1728 0.037 0.2593 482.2
"Altdorf, Vogelsang" 1980 "1980_1" NA 0.358 0.1728 0.037 0.2593 482.2
"Altdorf, Vogelsang" 1981 "1981_2" NA 0.358 0.1728 0.037 0.2593 482.2
"Arth-Goldau, Schuttwald" 1990 "1990_1" 20 0.3827 0.2469 0.07 0.1029 476
"Arth-Goldau, Schuttwald" 1991 "1991_1" 20 0.3858 0.25 0.0648 0.1049 476
"Baldegg - Institut" 1981 "1981_3" NA 0.0494 0.2963 0.2716 0.1975 478.2
"Baldegg - Institut" 1982 "1982_3" NA 0.0494 0.2963 0.2716 0.1975 478.2
"Barges [Vouvry, Les Barges]" 1988 "1988_1" NA 0 0.0165 0.8848 0.0741 380.5
"Barges [Vouvry, Les Barges]" 1989 "1989_1" NA 0 0.0154 0.8858 0.0741 380.5
"Barges [Vouvry, Les Barges]" 1990 "1990_2" NA 0 0.0144 0.8868 0.0741 380.5
"Bellinzona, Via Sasso Corbaro" 1999 "1999_1" NA 0.2626 0.1066 0.1257 0.3053 413.7
"Bellinzona, Via Sasso Corbaro" 2000 "2000_1" NA 0.2604 0.1055 0.1201 0.3075 413.7
