"taxonID" "Name_std"
"infospecies.ch:infofauna:31300" "Abraxas grossulariata"
"infospecies.ch:infofauna:31301" "Abraxas sylvata"
"infospecies.ch:infofauna:32000" "Abrostola agnorista"
"infospecies.ch:infofauna:32001" "Abrostola asclepiadis"
"infospecies.ch:infofauna:32003" "Abrostola tripartita"
"infospecies.ch:infofauna:32004" "Abrostola triplasia"
"infospecies.ch:infofauna:31302" "Acasis appensata"
"infospecies.ch:infofauna:31303" "Acasis viretata"
"infospecies.ch:infofauna:30970" "Acherontia atropos"
"infospecies.ch:infofauna:31270" "Achlya flavicornis"
"infospecies.ch:infofauna:32311" "Acontia trabealis"
"infospecies.ch:infofauna:32006" "Acosmetia caliginosa"
"infospecies.ch:infofauna:32007" "Acronicta aceris"
"infospecies.ch:infofauna:32008" "Acronicta alni"
"infospecies.ch:infofauna:32009" "Acronicta auricoma"
"infospecies.ch:infofauna:32011" "Acronicta cuspis"
"infospecies.ch:infofauna:32012" "Acronicta euphorbiae"
"infospecies.ch:infofauna:32013" "Acronicta leporina"
"infospecies.ch:infofauna:32014" "Acronicta megacephala"
"infospecies.ch:infofauna:32015" "Acronicta menyanthidis"
"infospecies.ch:infofauna:32016" "Acronicta psi"
"infospecies.ch:infofauna:32017" "Acronicta rumicis"
"infospecies.ch:infofauna:32018" "Acronicta strigosa"
"infospecies.ch:infofauna:32019" "Acronicta tridens"
"infospecies.ch:infofauna:32443" "Actebia multifida"
"infospecies.ch:infofauna:32557" "Actebia praecox"
"infospecies.ch:infofauna:32021" "Actinotia polyodon"
"infospecies.ch:infofauna:31304" "Adactylotis contaminaria"
"infospecies.ch:infofauna:32023" "Aedia funesta"
"infospecies.ch:infofauna:32024" "Aedia leucomelas"
"infospecies.ch:infofauna:31305" "Aethalura punctulata"
"infospecies.ch:infofauna:30951" "Aglia tau"
"infospecies.ch:infofauna:31306" "Agriopis aurantiaria"
"infospecies.ch:infofauna:31307" "Agriopis bajaria"
"infospecies.ch:infofauna:31308" "Agriopis leucophaearia"
"infospecies.ch:infofauna:31309" "Agriopis marginaria"
"infospecies.ch:infofauna:30971" "Agrius convolvuli"
"infospecies.ch:infofauna:32028" "Agrochola helvola"
"infospecies.ch:infofauna:32030" "Agrochola laevis"
"infospecies.ch:infofauna:32031" "Agrochola litura"
"infospecies.ch:infofauna:32032" "Agrochola lota"
"infospecies.ch:infofauna:32033" "Agrochola lychnidis"
"infospecies.ch:infofauna:32034" "Agrochola macilenta"
"infospecies.ch:infofauna:32036" "Agrochola nitida"
"infospecies.ch:infofauna:32037" "Agrochola pistacinoides"
"infospecies.ch:infofauna:32683" "Agrochola ruticilla"
"infospecies.ch:infofauna:32041" "Agrotis bigramma"
"infospecies.ch:infofauna:32039" "Agrotis cinerea"
"infospecies.ch:infofauna:32040" "Agrotis clavis"
"infospecies.ch:infofauna:32043" "Agrotis exclamationis"
"infospecies.ch:infofauna:32044" "Agrotis fatidica"
"infospecies.ch:infofauna:32046" "Agrotis ipsilon"
"infospecies.ch:infofauna:32048" "Agrotis puta"
"infospecies.ch:infofauna:32051" "Agrotis segetum"
"infospecies.ch:infofauna:32052" "Agrotis simplonia"
"infospecies.ch:infofauna:32054" "Agrotis trux"
"infospecies.ch:infofauna:32056" "Agrotis vestigialis"
"infospecies.ch:infofauna:31782" "Alcis deversata"
"infospecies.ch:infofauna:31310" "Alcis jubata"
"infospecies.ch:infofauna:31312" "Alcis repandata"
"infospecies.ch:infofauna:31313" "Aleucis distinctata"
"infospecies.ch:infofauna:32058" "Allophyes oxyacanthae"
"infospecies.ch:infofauna:31315" "Alsophila aceraria"
"infospecies.ch:infofauna:31314" "Alsophila aescularia"
"infospecies.ch:infofauna:32062" "Ammoconia caecimacula"
"infospecies.ch:infofauna:32063" "Ammoconia senex"
"infospecies.ch:infofauna:32065" "Amphipoea fucosa"
"infospecies.ch:infofauna:32066" "Amphipoea lucens"
"infospecies.ch:infofauna:32067" "Amphipoea oculea"
"infospecies.ch:infofauna:32068" "Amphipyra berbera"
"infospecies.ch:infofauna:32648" "Amphipyra cinnamomea"
"infospecies.ch:infofauna:32069" "Amphipyra livida"
"infospecies.ch:infofauna:32070" "Amphipyra perflua"
"infospecies.ch:infofauna:32071" "Amphipyra pyramidea"
"infospecies.ch:infofauna:32073" "Amphipyra tragopoginis"
"infospecies.ch:infofauna:32074" "Anaplectoides prasina"
"infospecies.ch:infofauna:32076" "Anarta melanopa"
"infospecies.ch:infofauna:32077" "Anarta myrtilli"
"infospecies.ch:infofauna:32297" "Anarta odontites"
"infospecies.ch:infofauna:32296" "Anarta trifolii"
"infospecies.ch:infofauna:31316" "Angerona prunaria"
"infospecies.ch:infofauna:32582" "Anorthoa munda"
"infospecies.ch:infofauna:31318" "Anticlea derivata"
"infospecies.ch:infofauna:31319" "Anticollix sparsata"
"infospecies.ch:infofauna:32079" "Antitype chi"
"infospecies.ch:infofauna:32080" "Antitype suda"
"infospecies.ch:infofauna:32082" "Apamea anceps"
"infospecies.ch:infofauna:32083" "Apamea aquila"
"infospecies.ch:infofauna:32084" "Apamea crenata"
"infospecies.ch:infofauna:32085" "Apamea epomidion"
"infospecies.ch:infofauna:32086" "Apamea furva"
"infospecies.ch:infofauna:32087" "Apamea illyria"
"infospecies.ch:infofauna:32088" "Apamea lateritia"
"infospecies.ch:infofauna:32089" "Apamea lithoxylaea"
